logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	
16711138	-1.282046106	4.933293412	-4.916389237	5.58E-06	0.00263398	3.824144981	NA
16955155	-0.403977895	7.321853055	-4.891742131	6.13E-06	0.002834081	3.739286062	SELK
16664044	-0.512131956	3.505061917	-4.879655564	6.41E-06	0.002908555	3.6977435	NA
17009792	0.80877288	2.721578303	4.872354256	6.59E-06	0.002932475	3.672671072	NA
16664608	-0.50037101	5.969108715	-4.862645498	6.84E-06	0.002945051	3.639358255	NA
16751996	-0.621122919	10.03428221	-4.861232829	6.88E-06	0.002945051	3.634513632	NA
16712477	0.367938293	6.519740323	4.856229485	7.01E-06	0.002946645	3.61736034	NA
17085169	-0.555878423	5.526763291	-4.840276155	7.44E-06	0.003073529	3.562721055	NA
16812344	-0.465395824	9.653261544	-4.806242075	8.46E-06	0.003432267	3.446436278	BCL2A1
16740330	-0.610481004	8.005678421	-4.760994895	1.00E-05	0.003996892	3.292439027	NA
17056957	0.563762026	4.825321003	4.749247151	1.05E-05	0.00410565	3.252569473	NA
16742838	0.508753195	5.298872445	4.741724923	1.08E-05	0.004152324	3.227065317	NA
16751995	-0.618529038	9.681320475	-4.722319221	1.16E-05	0.00439105	3.161360164	NA
16852369	-0.78588141	6.603665859	-4.698520153	1.27E-05	0.004720687	3.080958125	SMAD4
17000724	-0.38006422	5.41062452	-4.681510095	1.35E-05	0.004949022	3.023613461	HBEGF
17054328	-0.294178553	8.270287833	-4.662064179	1.45E-05	0.005236253	2.958182296	ZFAND2A
16875338	-0.550498267	5.063874646	-4.654121297	1.49E-05	0.005301795	2.931494984	NA
16863877	-0.423997455	8.933673142	-4.647013551	1.53E-05	0.005301795	2.907632786	PPP1R15A
16740339	-0.53726255	8.118764519	-4.643798439	1.55E-05	0.005301795	2.896844931	NA
16694611	-0.568084745	6.897500703	-4.638450129	1.58E-05	0.005301795	2.878907662	NA
17118044	0.531655738	4.87533524	4.636986766	1.59E-05	0.005301795	2.8740016	FLJ38576
17098171	1.143010029	4.599678687	4.634501923	1.60E-05	0.005301795	2.865672705	SNORD90
17047109	0.363504526	5.99890445	4.614192025	1.73E-05	0.005634357	2.79768011	NA
17074305	-1.023215148	7.503056535	-4.6064423	1.78E-05	0.005717225	2.771775445	DEFA4
16839524	-0.377475612	6.703608352	-4.595838892	1.85E-05	0.005863622	2.736367476	NA
16885819	0.714239562	4.715774434	4.580063806	1.96E-05	0.006130165	2.683766172	NA
16740337	-1.069215057	6.193809148	-4.576040852	1.99E-05	0.006138561	2.670366514	NA
16833343	0.512938233	5.699533629	4.540186349	2.27E-05	0.006909573	2.551208333	SNORD7
17083913	0.501954422	2.827002797	4.523299926	2.42E-05	0.00725456	2.495255384	NA
16782222	-0.413266769	7.697037338	-4.510582696	2.53E-05	0.007502175	2.453188298	REM2
17110365	-0.415227684	5.719425485	-4.4943527	2.68E-05	0.007859046	2.399590958	MIR221
16731529	0.393102082	5.380352048	4.489035338	2.74E-05	0.007912656	2.382053045	NA
16817881	0.614225638	5.07354125	4.478830586	2.84E-05	0.008110812	2.348425845	NA
16996785	0.487284268	7.035726481	4.474617292	2.88E-05	0.008135664	2.334553716	NA
17024219	0.346106794	2.308083468	4.459875876	3.04E-05	0.008480049	2.286072232	MIR3145
16976012	0.533982238	5.704556762	4.452121827	3.13E-05	0.008606188	2.260604689	NA
16913507	-0.758858703	7.122929338	-4.449248161	3.16E-05	0.008606188	2.251172327	NA
16955096	-0.675253437	5.349915219	-4.444235633	3.22E-05	0.008635798	2.234727217	NA
16662621	0.75194787	4.788085267	4.438992091	3.28E-05	0.008635798	2.217534732	NA
16846913	-0.571509833	6.562165732	-4.436003502	3.32E-05	0.008635798	2.207740602	MTVR2
16901983	-0.558892474	5.404659605	-4.435615106	3.32E-05	0.008635798	2.206468019	NA
16949611	-0.787722961	7.851732979	-4.425512677	3.45E-05	0.008857965	2.173388167	IL1RAP
16991490	0.570196808	4.129917775	4.416177874	3.57E-05	0.009061427	2.142857696	NA
17067182	0.702520675	5.869096762	4.405467041	3.71E-05	0.009316535	2.10786936	NA
16989199	0.497217871	6.554617215	4.376829295	4.11E-05	0.010201602	2.014545411	NA
16855988	0.430132932	6.88552987	4.374319987	4.15E-05	0.010201602	2.006383838	LINC00909
17068626	0.662848781	7.483226999	4.356633601	4.42E-05	0.010756763	1.948930752	NA
16668109	0.425014897	8.621266345	4.352402302	4.49E-05	0.010807644	1.935204463	SCARNA2
16805051	-0.428778349	4.892177373	-4.347360082	4.57E-05	0.010891501	1.918857075	NA
16890968	0.829754472	3.284730383	4.341568064	4.66E-05	0.011006609	1.900091567	NA
17117527	-0.484198128	6.523956313	-4.337539914	4.73E-05	0.011051238	1.887048889	LOC399900
16751993	-0.413294537	8.640869639	-4.334800841	4.78E-05	0.011051238	1.878183887	NA
16745561	0.799456521	7.817824743	4.322692345	4.99E-05	0.01124812	1.83903168	SNORD14E
16849400	-0.516379039	7.651034465	-4.322541585	4.99E-05	0.01124812	1.838544587	SOCS3
16812905	-0.625815578	4.145164971	-4.321608926	5.01E-05	0.01124812	1.835531443	MIR1276
17019056	-0.391742843	10.67945431	-4.318038908	5.07E-05	0.011283088	1.824001086	TREM1
16673275	0.540653737	5.639648977	4.31101949	5.20E-05	0.011459517	1.801345302	LOC100147773
17043853	0.42417819	3.808019041	4.298718525	5.44E-05	0.011830819	1.761692097	NA
16939635	0.426379771	5.912505477	4.296799337	5.47E-05	0.011830819	1.755511105	NA
17103543	0.583312642	6.012624372	4.273587364	5.95E-05	0.012731459	1.680875744	NA
16862563	-1.106259054	5.951884361	-4.265534954	6.12E-05	0.012980991	1.65503698	CEACAM6
16712305	0.479997438	4.961790124	4.255650909	6.34E-05	0.013322504	1.623358209	NA
17093393	-0.515565365	2.268838193	-4.241482833	6.66E-05	0.013882767	1.578021124	NA
16670199	0.51217693	5.529212918	4.229748853	6.95E-05	0.014269979	1.540537697	LOC100132057
16808094	0.339460578	7.470011511	4.226961869	7.01E-05	0.014269979	1.531643504	LCMT2
17077740	-0.486847772	5.00663793	-4.224349977	7.08E-05	0.014269979	1.523311108	NA
17062799	0.377299531	6.983767776	4.223708694	7.10E-05	0.014269979	1.52126575	NA
16808993	0.530821934	7.071452114	4.218925729	7.22E-05	0.014270462	1.506016147	NA
16910206	0.337728195	6.469510951	4.217300035	7.26E-05	0.014270462	1.50083516	NA
17117999	0.452918679	7.316322201	4.216286069	7.28E-05	0.014270462	1.497604285	LOC100508227
16969633	-0.468362326	8.110339246	-4.214023284	7.34E-05	0.014270462	1.490395804	NA
16979386	0.473931802	3.676385936	4.204947459	7.58E-05	0.014612223	1.461505407	NA
16843397	0.358343916	7.800274828	4.192170584	7.93E-05	0.015035394	1.420894061	NA
16731253	-0.429970691	6.766679528	-4.183675642	8.17E-05	0.015035394	1.393932054	PTS
17017600	-0.387484846	5.415842983	-4.177873849	8.34E-05	0.015035394	1.375535862	NA
17029454	-0.387484846	5.415842983	-4.177873849	8.34E-05	0.015035394	1.375535862	NA
17032240	-0.387484846	5.415842983	-4.177873849	8.34E-05	0.015035394	1.375535862	NA
17036947	-0.387484846	5.415842983	-4.177873849	8.34E-05	0.015035394	1.375535862	NA
17039690	-0.387484846	5.415842983	-4.177873849	8.34E-05	0.015035394	1.375535862	NA
17042195	-0.387484846	5.415842983	-4.177873849	8.34E-05	0.015035394	1.375535862	NA
17085419	-0.491911677	6.267831891	-4.175045503	8.42E-05	0.015035394	1.366573136	NA
16876645	0.375013036	6.475251965	4.174107668	8.45E-05	0.015035394	1.363602006	NA
17113443	0.399466331	2.836542049	4.164377252	8.75E-05	0.015439379	1.332798071	NA
17069081	-0.639633914	7.577581803	-4.157378135	8.96E-05	0.015703366	1.31066639	NA
16697362	0.33780292	3.403014755	4.149249076	9.22E-05	0.016035809	1.284988817	PDC
16819792	0.452269826	9.271083225	4.132797299	9.77E-05	0.016859549	1.233111292	NA
16969631	-0.643357872	7.214534439	-4.129168123	9.89E-05	0.016890933	1.221683542	NA
16698232	-0.466422441	5.750895605	-4.128026928	9.93E-05	0.016890933	1.218091294	NA
16696098	0.398655691	2.459640344	4.119991895	0.000102155	0.017206273	1.192815079	NA
17011391	0.751394436	4.108542289	4.118550318	0.000102671	0.017206273	1.18828328	NA
16788667	0.509482691	4.511777	4.114270187	0.000104216	0.017339526	1.174833568	SNORD114-16
16752010	-0.671905279	7.248896494	-4.110875094	0.000105457	0.017420734	1.164170792	NA
17117017	0.56222305	4.032970624	4.103040948	0.000108376	0.017730588	1.139586244	NA
16794472	-0.390351677	8.044511455	-4.101745737	0.000108866	0.017730588	1.135524362	NA
16951504	0.324220296	3.924510854	4.099214912	0.00010983	0.017762453	1.127589674	NA
16923682	0.462953577	6.426088947	4.087750826	0.000114299	0.018311967	1.091683396	LINC01424
17023636	0.516280749	2.962141597	4.085901129	0.000115036	0.018311967	1.085895581	NA
16967863	-1.193007123	5.479224564	-4.084487281	0.000115603	0.018311967	1.081472606	AREG
16662336	0.665326792	4.528200894	4.076478213	0.000118864	0.018700453	1.056434732	NA
17112568	0.469071899	4.843018193	4.063505114	0.000124335	0.019244573	1.01594015	MIR548M
16967853	-1.02695199	5.122393165	-4.061308251	0.000125285	0.019244573	1.009090391	AREG
16658750	0.396091563	5.609188339	4.060259798	0.000125741	0.019244573	1.005822119	NA
17107487	0.47961509	2.2740721	4.059768025	0.000125956	0.019244573	1.004289322	SPANXN1
16947603	-0.520180576	4.432588095	-4.055362933	0.000127892	0.019244573	0.990564105	MIR15B
16787562	-0.503933873	2.057905545	-4.053769979	0.000128599	0.019244573	0.985603026	NA
16949663	0.505147481	3.38339411	4.053259712	0.000128826	0.019244573	0.9840141	NA
17011749	0.353120026	5.21029801	4.052916448	0.000128979	0.019244573	0.982945273	LOC102724646
16991663	0.316589626	3.961818447	4.047092261	0.000131605	0.019435546	0.96481865	NA
16874000	-0.98059979	4.969761819	-4.045031181	0.000132546	0.019435546	0.958407674	NA
17005092	0.560359332	4.951598702	4.044520138	0.000132781	0.019435546	0.956818382	NA
16917129	0.748902726	3.997722511	4.025258383	0.000141912	0.020641515	0.897003866	NA
16697370	-0.990516573	10.46763207	-4.011524014	0.000148789	0.021506517	0.854458569	PTGS2
16818204	-0.311506637	9.32965763	-4.005448633	0.000151932	0.021786515	0.835666663	NA
16678307	-0.508784603	7.380010459	-4.004153983	0.00015261	0.021786515	0.831664372	NA
16787362	0.559111183	5.764341528	3.99780681	0.000155976	0.022041729	0.812053986	NA
16760868	-0.448721499	8.485975498	-3.997196262	0.000156304	0.022041729	0.810168612	SLC2A3
17102290	0.418581441	3.950225918	3.989018297	0.000160756	0.022430263	0.784931864	MAGEB5
16743686	-1.012679553	8.047963327	-3.987559059	0.000161563	0.022430263	0.780432028	MMP8
16938199	0.326287281	4.384330957	3.986827248	0.000161969	0.022430263	0.778175728	NA
16914812	-0.284575334	9.603962796	-3.982218984	0.000164549	0.022546688	0.763973424	CEBPB
16663807	-0.375595102	8.988289364	-3.981846897	0.000164759	0.022546688	0.762827118	NA
17074331	-1.318914806	7.134590263	-3.974772287	0.000168803	0.022897052	0.741044401	NA
17010351	0.520244492	3.586461791	3.97391414	0.0001693	0.022897052	0.738403768	NA
16847034	-0.604517529	6.589146567	-3.970599407	0.000171232	0.023023787	0.728207162	MPO
16755533	-0.529489795	8.928279254	-3.960811464	0.000177064	0.023670228	0.698128295	NA
17024002	-0.276112834	3.905823834	-3.945796617	0.000186381	0.02477015	0.652075136	MTFR2
17117736	-0.575004759	4.760225732	-3.944145791	0.000187434	0.02477015	0.647018305	NA
16835567	-0.440858499	4.622272872	-3.937779833	0.000191547	0.025042542	0.627530188	NA
16793970	0.449255863	5.527579761	3.937605544	0.00019166	0.025042542	0.626996909	NA
17017224	0.547865479	8.055917449	3.930355845	0.000196453	0.025524492	0.60482758	LTB
16863287	-0.63070671	7.168828776	-3.923442337	0.00020113	0.025986164	0.583709759	FOSB
16767788	0.370817665	7.723286135	3.918872123	0.00020428	0.026246541	0.569762297	BBS10
16703112	0.389536792	6.208810457	3.915526287	0.000206616	0.026400035	0.559557782	LOC100130992
16804057	0.430772105	4.652284581	3.908455019	0.000211638	0.026893136	0.538008758	NA
16665923	0.509281099	3.396096617	3.904577531	0.000214441	0.026973302	0.526202724	NA
16872824	-1.160505736	6.957783254	-3.904357388	0.000214601	0.026973302	0.525532659	CEACAM8
16676150	-0.395534769	10.9872105	-3.901469674	0.000216714	0.027035008	0.516745278	BTG2
17062253	0.635786863	3.791428879	3.900496184	0.00021743	0.027035008	0.513783836	NA
16804031	0.737169604	3.306956091	3.887936557	0.000226882	0.028059299	0.475617539	NA
16755529	-0.698227455	7.656947281	-3.8819644	0.000231513	0.02847974	0.457496188	NA
17060478	0.534288894	7.566867585	3.875222632	0.000236849	0.028982077	0.43706049	NA
16971377	0.528111622	2.703074765	3.871641529	0.000239732	0.029180399	0.426214449	NA
16967690	0.359870857	6.972886112	3.868723265	0.000242106	0.029287134	0.417380578	NA
16730330	0.269280201	5.716863416	3.866802716	0.00024368	0.029287134	0.411569162	NA
16977461	-0.411275432	7.673733659	-3.865919096	0.000244408	0.029287134	0.408896012	THAP9-AS1
16871031	0.396027312	3.143780212	3.86376531	0.00024619	0.029347934	0.402381925	NA
16773478	-0.502689363	6.747367033	-3.862248314	0.000247453	0.029347934	0.397795163	NA
16754529	0.328510659	4.044265367	3.860614367	0.00024882	0.029359524	0.392856054	NA
17046700	-0.34309209	2.19189802	-3.857676266	0.000251297	0.029501247	0.383978035	NA
17079425	-0.632712237	5.989699128	-3.849689659	0.000258149	0.030048752	0.35986647	NA
16729185	-0.37404135	7.768724373	-3.849218223	0.000258559	0.030048752	0.358444186	NA
16801198	0.293455977	4.321331001	3.842653862	0.000264334	0.030566236	0.338651448	NA
16897399	0.598016509	3.72724135	3.840895976	0.000265901	0.030594486	0.333354717	NA
16730188	0.346960609	4.629684586	3.835890457	0.000270412	0.03087802	0.318280828	NA
17064716	0.491294793	3.710481712	3.835205357	0.000271036	0.03087802	0.316218645	NA
16815372	0.459740248	5.412971438	3.832053129	0.00027392	0.031053712	0.306733296	NA
16877270	0.555000303	2.593025779	3.828495536	0.000277212	0.031155216	0.296034083	MIR548S
17014617	0.58902914	2.962446834	3.828174953	0.00027751	0.031155216	0.295070263	NA
17070769	0.303950232	2.546214568	3.817263209	0.000287853	0.031986921	0.262294934	SLC26A7
16924392	0.307390741	2.801926101	3.817005818	0.000288101	0.031986921	0.261522531	NA
16896315	0.698349484	4.708124947	3.816006549	0.000289068	0.031986921	0.258524144	NA
17005757	0.31053548	5.77476424	3.810624013	0.000294326	0.032413656	0.242381981	LOC105374989
16706056	0.30122022	6.675789244	3.807787308	0.000297133	0.032566017	0.233880561	LOC101929112
17088030	0.486340702	3.958824968	3.806390431	0.000298525	0.032566017	0.229695692	NA
16793674	-0.386258488	4.736475551	-3.803388949	0.000301538	0.032740179	0.220706924	NA
16715788	0.343731772	3.910932803	3.800044813	0.000304928	0.032953575	0.210697305	NA
16867229	0.479401166	5.946594505	3.791011103	0.000314269	0.033520042	0.183685791	SNORD37
16867230	0.479401166	5.946594505	3.791011103	0.000314269	0.033520042	0.183685791	NA
16828325	-0.592656709	5.148436207	-3.789867426	0.000315471	0.033520042	0.180269032	NA
16739208	-0.488863083	10.09446661	-3.789396987	0.000315967	0.033520042	0.178863776	NA
16757762	-0.31020291	3.507312861	-3.787324623	0.00031816	0.033598517	0.17267471	LOC102723712
16975028	0.311183061	5.384678205	3.78087128	0.000325081	0.034173353	0.153415826	NA
16775778	0.473088367	5.527362441	3.776861971	0.000329453	0.034378707	0.141461323	NA
16742371	0.660184957	5.570244293	3.776357201	0.000330007	0.034378707	0.139956833	NA
16926751	0.326356367	6.591326354	3.772466112	0.000334311	0.034670881	0.128363591	NA
16991694	0.483895986	4.487975472	3.769651194	0.000337458	0.034816003	0.11998151	NA
16769593	-0.36885358	6.704594216	-3.768528172	0.000338721	0.034816003	0.116638566	NA
16741961	-0.329929449	5.421956641	-3.760516007	0.000347866	0.035430658	0.092807017	NA
17074313	-1.095807288	9.434068875	-3.759763368	0.000348737	0.035430658	0.090570029	NA
16965897	-0.372142813	4.204776765	-3.759280773	0.000349297	0.035430658	0.089135815	LOC100508631
16841530	0.471549128	2.480042846	3.757034804	0.000351913	0.035540117	0.082462625	MIR548H3
16851247	0.553849308	5.091640363	3.754966422	0.000354338	0.035616741	0.076319346	NA
16856292	-0.356116257	6.825005661	-3.753767495	0.000355752	0.035616741	0.072759426	ELANE
16905495	-0.440259419	7.049925489	-3.748607599	0.000361896	0.03607569	0.05744674	NA
17074322	-1.095913222	9.43016139	-3.747062801	0.000363755	0.036105384	0.052864987	NA
16989986	-0.519144068	6.492941382	-3.732866201	0.000381272	0.037682345	0.010816111	NA
16875785	-0.340370695	5.219462733	-3.730591778	0.000384152	0.037805439	0.004089103	NA
16661527	-0.290623902	8.280590774	-3.726999609	0.000388743	0.038095163	-0.006529955	XKR8
17025558	0.403105051	5.117370043	3.718987737	0.000399172	0.038952153	-0.030190487	NA
16964831	0.612349817	4.959766224	3.712904191	0.000407269	0.039575293	-0.048134213	MIR4798
16987773	0.406789888	2.920756424	3.710696774	0.000410246	0.03964248	-0.054640373	NA
16933292	-0.330882541	2.525767843	-3.709853101	0.000411389	0.03964248	-0.057126356	NA
16858710	-0.290770901	10.91355951	-3.707419612	0.000414703	0.039796031	-0.064294862	JUNB
16678166	0.295432993	5.896027457	3.705342401	0.000417552	0.039903866	-0.070411425	NA
16680031	0.445256701	3.107907981	3.702827754	0.000421027	0.040070295	-0.077813075	NA
16789207	-0.454286839	5.649846695	-3.699611251	0.000425511	0.040331075	-0.0872758	SNORA28
16969764	0.53403108	3.77350276	3.697841677	0.000427997	0.040401151	-0.09247947	NA
16689262	0.340504889	3.887828138	3.693961141	0.000433498	0.040754056	-0.103885018	NA
16741547	0.283540978	5.318812598	3.689410637	0.000440034	0.041011396	-0.117249732	NA
16773473	-0.284283546	7.275991461	-3.689107271	0.000440473	0.041011396	-0.118140328	NA
17010173	0.378956473	5.994882065	3.687612835	0.000442642	0.041011396	-0.12252686	NA
17109337	0.303032039	3.196908128	3.686745627	0.000443905	0.041011396	-0.125071795	NA
16771754	0.293811983	6.898751952	3.685926798	0.000445101	0.041011396	-0.127474392	NA
16981660	-0.365385674	4.162321768	-3.679891488	0.000454012	0.041666432	-0.145172334	NA
16683622	0.546553681	2.946713764	3.676208105	0.000459534	0.042006478	-0.155964136	NA
16733038	0.474485273	5.277383945	3.674273473	0.00046246	0.042107486	-0.161629497	NA
16752007	-0.704025963	8.120133925	-3.667546573	0.000472771	0.042729253	-0.181313241	NA
16840846	-0.490606349	7.94665706	-3.66740957	0.000472983	0.042729253	-0.181713881	NA
16943467	-0.288402279	9.181921329	-3.664928382	0.000476844	0.042793144	-0.188967976	NFKBIZ
16707215	0.312634344	3.947118935	3.664577782	0.000477391	0.042793144	-0.189992743	NA
17010343	0.607760545	4.677266713	3.65963554	0.000485178	0.043323243	-0.204431516	NA
17002396	0.397550326	4.154125289	3.654361875	0.000493621	0.043907576	-0.219824375	ZBED8
16755528	-0.836681556	7.843530677	-3.645856661	0.000507532	0.044972014	-0.244618637	NA
16743053	0.478154145	4.371298755	3.643636402	0.000511225	0.045126304	-0.251084812	NA
16853028	0.349365518	3.012931588	3.641692319	0.000514479	0.045240876	-0.256744524	LOC100505817
16698249	-0.528610095	5.327027451	-3.635722591	0.000524595	0.045955719	-0.274111391	NA
16877760	-0.447921043	7.074309721	-3.629651421	0.000535077	0.0466971	-0.291753985	NA
16684389	0.544528854	2.880280723	3.628202727	0.000537608	0.046741562	-0.295960944	SNORD85
16885191	0.276473358	7.604099628	3.618660339	0.000554563	0.04803512	-0.323643813	NIFK-AS1
17065851	0.450573451	4.595782429	3.61701712	0.000557534	0.048067537	-0.328405965	NA
16902120	0.33910673	3.80462496	3.615713042	0.000559902	0.048067537	-0.332184238	NA
16988537	0.474265701	9.015724224	3.615015507	0.000561172	0.048067537	-0.334204816	NA
16942889	0.325374321	4.072139474	3.613164879	0.000564557	0.048179	-0.339564351	LOC101927494
17048072	-0.419950957	2.213192413	-3.606761093	0.000576419	0.048931953	-0.358095982	STEAP1
16851930	-0.263886452	5.738925858	-3.605795052	0.000578229	0.048931953	-0.360889662	NA
16661314	-0.245132098	5.626645459	-3.60499739	0.000579727	0.048931953	-0.363196029	SFN
